epoch,train_loss,val_loss,stage,mean_pred_sd
1,1.001628199833225,1.2242216813206162,MSE (Warmup),6.277114295016872e-08
2,1.0009111239698907,1.2210116527111234,MSE (Warmup),1.5366822481155396e-08
3,1.0011201371350358,1.2210477524049292,MSE (Warmup),5.504116273868931e-08
4,1.0017336151871885,1.2215476094908981,MSE (Warmup),1.4528632519272833e-08
5,1.0004519752593006,1.219699460293602,MSE (Warmup),4.2942702727089e-09
6,1.000078291251752,1.2196091329079328,MSE (Warmup),3.3061950954760277e-09
7,1.0000798846977847,1.2195113669649214,MSE (Warmup),5.483161480412946e-09
8,0.9999466155880647,1.2196795820166624,MSE (Warmup),2.828892320394516e-08
9,1.00094150072302,1.2194980239663513,MSE (Warmup),2.261367537670367e-09
10,1.000093316940687,1.219799758282854,MSE (Warmup),1.7189449863508344e-09
11,7.0958961133671234,7.6464831573257115,NLL,5.401671110405459e-09
12,7.096386343601633,7.6425313867724505,NLL,5.681067616336577e-09
13,7.096605537650386,7.64037423481757,NLL,1.2456439435482025e-08
14,7.095959798631735,7.6496520758698425,NLL,1.0710209608078003e-08
15,7.096424109773168,7.64465452570772,NLL,1.9121215721895624e-09
16,7.096096357621533,7.649261746795393,NLL,1.16648148917875e-08
17,7.095588570419126,7.641762013087456,NLL,2.2497261831233573e-09
18,7.096087280696483,7.646525606065349,NLL,5.029141991741426e-09
19,7.0951893446626295,7.6444751980990295,NLL,3.3869582694023848e-09
20,7.095186508256512,7.645531169334706,NLL,1.1816154721344674e-09
21,7.095093360898447,7.6459036221320025,NLL,9.324867100701795e-09
22,7.09486229849743,7.644530824325627,NLL,1.5599652680720055e-09
23,7.095149629810496,7.64293490765944,NLL,3.5390257391298974e-09
24,7.094970846267321,7.645417413998059,NLL,9.953510238247532e-10
25,7.094949952351052,7.643683619765253,NLL,3.213062926832322e-09
26,7.094559017908352,7.644229365009095,NLL,2.3777828594973016e-09
27,7.095015388449869,7.643406659236794,NLL,2.46800491154886e-09
28,7.094644891448352,7.644389743968652,NLL,2.4389010810921263e-09
