patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_306b,10-17,10,17,0.3850556178295388,43,-0.07170829615868689,0.051194435328685256,0.5201644137112548,-0.12441873191624468,0.28859573048786097,40919,24070,43326,26477,0.0,0.0,0.0,0.0,0.0
CH_L_306b,10-18,10,18,0.39170777474622437,163,-0.05794134306515695,0.08305580871155771,0.5028599461674123,-0.09040392476669239,0.3163424186620955,43326,24070,45733,26477,1.0,1.0,0.0,1.0,1.0
CH_L_306b,10-19,10,19,0.4610145870819324,185,-0.07949566832775955,0.04802641439892197,0.5218735305524744,-0.11867117889294837,0.2907415148698496,45733,24070,48140,26477,0.0,0.0,0.0,0.0,0.0
CH_L_306b,10-20,10,20,0.4051824638114033,152,-0.11029343933661206,0.04610926125788879,0.5655305857947525,-0.15874454555370474,0.20683246646169487,48140,24070,50547,26477,0.0,0.0,1.0,0.0,0.0
CH_L_306b,11-19,11,19,0.44698298670567677,82,-0.08124901966617284,0.05677832050286164,0.526176126329519,-0.11358773037391971,0.3158808442001334,45733,26477,48140,28884,0.0,0.0,0.0,0.0,1.0
CH_L_306b,11-20,11,20,0.41712616660817103,73,-0.08142436967101549,0.04401553296613551,0.5289986529359534,-0.11418072206366606,0.2917216356518334,48140,26477,50547,28884,0.0,0.0,1.0,0.0,0.0
CH_L_306b,6-16,6,16,0.41669182471563976,158,-0.07001636131291093,0.059053615345874624,0.5271040892565308,-0.12309264186412075,0.32020409423744184,38512,14442,40919,16849,0.0,0.0,1.0,0.0,1.0
CH_L_306b,6-17,6,17,0.35979386014910186,189,-0.0883097368833922,0.068624316853461,0.5356150362658244,-0.1353807217143299,0.29731766636006257,40919,14442,43326,16849,0.0,1.0,1.0,0.0,0.0
CH_L_306b,7-16,7,16,0.5159548336817815,178,-0.05464904199516938,0.0509726790653339,0.5249420932049762,-0.11526953600026052,0.31023897179047355,38512,16849,40919,19256,1.0,0.0,0.0,0.0,1.0
CH_L_306b,7-17,7,17,0.5044612260077008,183,-0.0631790109059138,0.044736143409493105,0.5231240746945783,-0.10789942756092866,0.30767455528472565,40919,16849,43326,19256,0.0,0.0,0.0,1.0,1.0
CH_L_306b,7-19,7,19,0.3909603973307297,189,-0.061509825138348774,0.10423437926419006,0.5107551166792015,-0.10010734240338624,0.2858456606073394,45733,16849,48140,19256,0.0,1.0,0.0,1.0,0.0
CH_L_306b,7-20,7,20,0.5179993948304099,181,-0.01595897136135778,0.11086729476517486,0.465043016803343,-0.038224970515451234,0.31750809058616014,48140,16849,50547,19256,1.0,1.0,0.0,1.0,1.0
CH_L_306b,8-16,8,16,0.5147505481632912,182,-0.05544770581638381,0.04237441454205682,0.5275409302665129,-0.11092041521948377,0.3005391940217322,38512,19256,40919,21663,1.0,0.0,1.0,0.0,0.0
CH_L_306b,8-17,8,17,0.5277639265734329,187,-0.06777521071461011,0.04756326911897328,0.5226690631037992,-0.11480954192693724,0.2860824655893241,40919,19256,43326,21663,0.0,0.0,0.0,0.0,0.0
CH_L_306b,8-18,8,18,0.49924629690827776,184,-0.07754880648976349,0.056304343727338425,0.5165805718928465,-0.11151930885616566,0.2824626859327057,43326,19256,45733,21663,0.0,0.0,0.0,0.0,0.0
CH_L_306b,8-19,8,19,0.551577329689364,185,-0.03735912539522415,0.08999279227464842,0.4915036092329009,-0.07613139298127264,0.28932157403561826,45733,19256,48140,21663,1.0,1.0,0.0,1.0,0.0
CH_L_306b,8-20,8,20,0.5373587327794589,188,-0.03420478080314012,0.09278243849295924,0.48455830420418233,-0.06449106151229259,0.29929666484995765,48140,19256,50547,21663,1.0,1.0,0.0,1.0,0.0
CH_L_306b,9-16,9,16,0.41485671378092015,134,-0.06307679839897226,0.05071887579378452,0.5214515913473144,-0.11871562552062971,0.301266856617143,38512,21663,40919,24070,0.0,0.0,0.0,0.0,0.0
CH_L_306b,9-17,9,17,0.44437561993216845,185,-0.08597303548255872,0.060275276936690866,0.5227727093263808,-0.11083632901470274,0.25882572037723695,40919,21663,43326,24070,0.0,0.0,0.0,0.0,0.0
CH_L_306b,9-18,9,18,0.4339048903642212,188,-0.08106151708088438,0.061277248612939046,0.5263299559232694,-0.12820995382743236,0.2933742691371153,43326,21663,45733,24070,0.0,0.0,0.0,0.0,0.0
CH_L_306b,9-19,9,19,0.41410404644790116,187,-0.06663326205823533,0.05776964746300665,0.520824304760676,-0.11076379764669711,0.28778628480391305,45733,21663,48140,24070,0.0,0.0,0.0,0.0,0.0
CH_L_306b,9-20,9,20,0.41730758780084953,170,-0.10182171108332223,0.043688658864974056,0.5528012566528367,-0.1424024305795555,0.22754075437065885,48140,21663,50547,24070,0.0,0.0,1.0,0.0,0.0
